lat,lon,value
42.3431875,-71.1419274,950
42.4301931,-71.0674555,950
42.3422309,-71.1213705,950
42.3462331,-71.1356277,950
42.3410307,-71.1552011,950
42.369315,-71.1010273,950
42.3380233,-71.1127655,950
42.3704103,-71.1037553,950
42.367865,-71.0973684,950
42.3762318,-71.1256543,950
42.3363511,-71.1176538,950
42.3665366,-71.0324964,950
42.3682972,-71.1017425,950
42.3378086,-71.0493004,950
42.3430713,-71.0997772,950
42.3446302,-71.1169497,950
42.4211576,-71.069043,950
42.3700378,-71.1068722,950
42.349077,-71.0681981,950
42.339975,-71.075853,950
42.375133,-71.034426,950
42.4204035,-71.164029,950
42.3665366,-71.0324964,950
42.3024,-71.1144,950
42.354045,-71.1323607,975
42.354045,-71.1323607,975
42.4204035,-71.164029,975
42.4161,-71.1511,975
42.3644622,-71.0566823,975
42.4112558,-71.124035,975
42.4172,-71.1631,975
42.4129,-71.1492,975
42.2613667,-71.1570607,975
42.3959826,-71.1002406,975
42.35,-71.1397,975
42.35,-71.1397,975
42.35,-71.1397,975
42.35,-71.1397,975
42.424187,-71.1796174,975
42.4137283,-71.1334577,975
42.385073,-71.012298,975
42.2629,-71.0353,975
42.412732,-71.046404,975
42.4235776,-71.1759832,975
42.3934997,-71.154712,975
42.3934997,-71.154712,975
42.426347,-71.00954,975
42.36709,-71.115545,975
42.3561639,-71.1490687,975
42.3518808,-71.1212666,1000
42.3334672,-71.1061636,1000
42.3994455,-71.1188875,1000
42.3489871,-71.1397405,1000
42.3406323,-71.0817043,1000
42.3392235,-71.0803687,1000
42.3501963,-71.1334998,1000
42.3582607,-71.1095872,1000
42.3452263,-71.1094989,1000
42.399399,-71.032188,1000
42.3459,-71.1384,1000
42.3783137,-71.1205823,1000
42.351845,-71.168736,1000
42.314833,-71.065858,1000
42.354672,-71.100787,1000
42.3503418,-71.0847261,1000
42.4051483,-71.0051393,1000
42.3400075,-71.0825003,1000
42.3400075,-71.0825003,1000
42.387419,-71.080461,1000
42.3347728,-71.0354008,1000
42.3493957,-71.1171695,1000
42.3860359,-71.1050956,1000
42.434382,-71.0741128,1000
42.3507705,-71.1272586,1000
42.3507705,-71.1272586,1000
42.3861581,-71.1309742,1000
42.3749209,-71.110078,1000
42.3508,-71.0728,1000
42.340468,-71.1205379,1000
42.3411172,-71.0811301,1000
42.344146,-71.140852,1000
42.3743,-71.1015,1000
42.285763,-71.0643201,1000
42.307655,-71.1155128,1000
42.3400704,-71.0813648,1000
42.3502817,-71.127773,1000
42.2741,-71.1395,1000
42.3487,-71.1342,1000
42.3521,-71.1216,1000
42.352,-71.1224,1000
42.3521,-71.1216,1000
42.3521,-71.1216,1000
42.3487,-71.1342,1000
42.352,-71.1224,1000
42.3511,-71.1273,1000
42.3521,-71.1216,1000
42.3521,-71.1216,1000
42.3521,-71.1216,1000
42.3829969,-71.1054452,1000
42.4103,-71.0097,1000
42.278259,-71.0272474,1000
42.280878,-71.1341831,1000
42.280878,-71.1341831,1000
42.3420086,-71.087324,1000
42.3813896,-71.09629,1000
42.378839,-71.1040626,1000
42.312794,-71.083335,1000
42.383779,-71.0806467,1000
42.3305986,-71.1085052,1000
42.3473,-71.1517,1000
42.406227,-71.040417,1000
42.313102,-71.072779,1000
42.3794762,-71.0327963,1000
42.388167,-71.1194708,1000
42.3478447,-71.1070457,1000
42.3506061,-71.110864,1025
42.3588877,-71.0567832,1025
42.3588877,-71.0567832,1025
42.347588,-71.13823,1025
42.347588,-71.13823,1025
42.3503,-71.1401,1025
42.358274,-71.057811,1025
42.3486052,-71.0693812,1025
42.342,-71.0753,1025
42.3628775,-71.0563593,1025
42.3531,-71.1279,1025
42.385687,-71.0878363,1025
42.3506061,-71.110864,1025
42.3415187,-71.1457882,1050
42.366268,-71.0527699,1050
42.366268,-71.0527699,1050
42.3591088,-71.1110841,1050
42.3522,-71.1319,1050
42.4319581,-71.0748285,1050
42.3448799,-71.11088,1050
42.3592885,-71.0677114,1050
42.4278524,-71.0741148,1050
42.3402,-71.1193,1050
42.340628,-71.152623,1050
42.340628,-71.152623,1050
42.3787,-71.0349,1050
42.3428479,-71.0899419,1050
42.42422,-71.1812646,1050
42.382254,-71.096206,1050
42.3545148,-71.1263603,1050
42.3223915,-71.1084609,1050
42.3520805,-71.1249964,1050
